Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
TPST2		2	2	1066	0.2%	No
TNR		16	15	1066	1.4%	No
TNP2		4	3	1066	0.3%	No
CDC42BPA		21	20	1066	1.9%	No
OR1K1		2	2	1066	0.2%	No
TNS1		7	7	1066	0.7%	No
OGT		14	10	1066	0.9%	No
ZNF724		2	2	1066	0.2%	No
HIRIP3		6	6	1066	0.6%	No
LCN9		1	1	1066	<0.1%	No
ZNF506		4	4	1066	0.4%	No
TNXB		17	14	1066	1.3%	No
IRS4		15	14	1066	1.3%	Yes
AFM		3	3	1066	0.3%	No
AFP		2	2	1066	0.2%	No
TNP1		2	2	1066	0.2%	No
AGA		1	1	1066	<0.1%	No
TNNT3		4	4	1066	0.4%	No
SORBS2		10	9	1066	0.8%	No
ACAN		11	11	1066	1.0%	No
AGL		11	10	1066	0.9%	No
C10ORF55		1	1	1066	<0.1%	No
TNNT2		1	1	1066	<0.1%	No
TOP2A		6	6	1066	0.6%	No
GEMIN2		4	4	1066	0.4%	No
NTMT2		4	4	1066	0.4%	No
TOP3A		5	4	1066	0.4%	No
TOP2B		7	3	1066	0.3%	No
TP53BP1		18	16	1066	1.5%	Yes
TP53		353	347	1066	32.6%	Yes
TP53BP2		14	13	1066	1.2%	No
PLIN5		2	2	1066	0.2%	No
JAG1		12	10	1066	0.9%	No
AGT		5	5	1066	0.5%	No
TOP1		5	5	1066	0.5%	Yes
SEMA7A		4	4	1066	0.4%	No
CILP		9	9	1066	0.8%	No
AGTR1		5	4	1066	0.4%	No
RAE1		5	5	1066	0.5%	No
AGTR2		4	4	1066	0.4%	No
OFD1		9	9	1066	0.8%	No
APLNR		5	5	1066	0.5%	Yes
AGXT		1	1	1066	<0.1%	No
TPD52L2		2	2	1066	0.2%	No
PPFIA4		8	8	1066	0.8%	No
GORAB		5	5	1066	0.5%	No
TPD52L1		1	1	1066	<0.1%	No
RANBP3		5	5	1066	0.5%	No
NAF1		3	3	1066	0.3%	No
TPI1		4	4	1066	0.4%	No
PPFIBP2		8	7	1066	0.7%	No
METTL18		4	4	1066	0.4%	No
TPH1		3	3	1066	0.3%	No
PPFIBP1		7	7	1066	0.7%	Yes
CERS5		2	2	1066	0.2%	No
TPM2		4	4	1066	0.4%	No
TPM1		3	3	1066	0.3%	No
PPFIA2		13	12	1066	1.1%	No
NR0B1		3	3	1066	0.3%	No
AHCY		5	5	1066	0.5%	No
RGS5		3	3	1066	0.3%	No
SPDYE1		2	2	1066	0.2%	No
BCL2L14		2	2	1066	0.2%	No
TP73		2	2	1066	0.2%	No
PPM1D		4	4	1066	0.4%	Yes
PRR29		1	1	1066	<0.1%	No
FMNL3		12	12	1066	1.1%	No
AHR		3	3	1066	0.3%	No
TPD52		3	3	1066	0.3%	No
MAP4K3		3	3	1066	0.3%	No
AHSG		1	1	1066	<0.1%	No
PRSS12		7	7	1066	0.7%	No
CEACAM18		4	4	1066	0.4%	No
RUSC1-AS1		1	1	1066	<0.1%	No
OR5V1		3	3	1066	0.3%	No
SYPL2		3	3	1066	0.3%	No
OR2B2		4	4	1066	0.4%	No
EEIG2		2	2	1066	0.2%	No
AMN		1	1	1066	<0.1%	No
TPR		30	28	1066	2.6%	Yes
CADPS2		14	13	1066	1.2%	No
TPT1		1	1	1066	<0.1%	No
ARHGAP18		10	9	1066	0.8%	No
TPSAB1		2	2	1066	0.2%	No
TPTE		15	13	1066	1.2%	No
STRADA		4	4	1066	0.4%	No
BARHL2		3	3	1066	0.3%	No
REEP3		2	2	1066	0.2%	No
TPM3		5	5	1066	0.5%	Yes
JMJD1C		26	20	1066	1.9%	No
TCAF2		2	2	1066	0.2%	No
SKIC8		3	3	1066	0.3%	No
TPMT		2	2	1066	0.2%	No
CAPZA3		3	3	1066	0.3%	No
TPM4		4	3	1066	0.3%	Yes
ZBTB42		1	1	1066	<0.1%	No
TPP2		7	7	1066	0.7%	No
TSPEAR		8	8	1066	0.8%	No
ZXDC		7	6	1066	0.6%	No
TPO		10	10	1066	0.9%	No
CPLANE2		1	1	1066	<0.1%	No
HMGN5		5	5	1066	0.5%	No
BHLHE41		2	2	1066	0.2%	No
C6ORF62		6	6	1066	0.6%	No
FCRL2		4	4	1066	0.4%	No
RNF39		1	1	1066	<0.1%	No
B3GNT4		5	5	1066	0.5%	No
TNKS2		5	5	1066	0.5%	No
LPAL2		1	1	1066	<0.1%	No
TRAF3		7	5	1066	0.5%	Yes
TRAF2		2	2	1066	0.2%	Yes
TRAF6		7	6	1066	0.6%	No
TRAF5		8	8	1066	0.8%	Yes
DPP9		4	3	1066	0.3%	No
ZNF774		1	1	1066	<0.1%	No
SPSB4		2	2	1066	0.2%	No
SETD4		4	4	1066	0.4%	Yes
NR2C1		2	2	1066	0.2%	No
CRISP2		1	1	1066	<0.1%	No
NR2C2		2	2	1066	0.2%	No
TRAF1		5	5	1066	0.5%	No
STAC3		2	2	1066	0.2%	No
HSP90B1		4	4	1066	0.4%	No
PELI3		3	3	1066	0.3%	No
SLC39A12		10	9	1066	0.8%	No
PDCD1LG2		1	1	1066	<0.1%	Yes
TMC3		10	9	1066	0.8%	No
CD276		2	2	1066	0.2%	Yes
ZNF860		5	5	1066	0.5%	No
CRB3		1	1	1066	<0.1%	No
KCNT2		21	19	1066	1.8%	No
HRCT1		1	1	1066	<0.1%	No
BEND7		4	3	1066	0.3%	No
ZNF789		2	2	1066	0.2%	No
RPP38-DT		1	1	1066	<0.1%	No
FAM171A1		11	10	1066	0.9%	No
CCDC34		6	6	1066	0.6%	No
AP5B1		2	2	1066	0.2%	No
CCDC149		2	2	1066	0.2%	No
CATSPERE		14	12	1066	1.1%	No
HNRNPUL2		5	5	1066	0.5%	No
EPHA10		3	3	1066	0.3%	No
RSPO1		1	1	1066	<0.1%	No
ARL5B		2	2	1066	0.2%	No
PXYLP1		6	6	1066	0.6%	No
NSUN6		3	3	1066	0.3%	No
CD163L1		19	18	1066	1.7%	No
OTOGL		24	20	1066	1.9%	No
GPR149		7	7	1066	0.7%	No
AADACL2		4	4	1066	0.4%	No
ZNF878		4	4	1066	0.4%	No
ANKRD30A		17	17	1066	1.6%	No
FRMD3		6	6	1066	0.6%	No
FCRL6		3	3	1066	0.3%	No
LINC02860		1	1	1066	<0.1%	No
OR10R2		6	6	1066	0.6%	No
MYL12B		2	2	1066	0.2%	No
OCLN		4	4	1066	0.4%	No
ST6GALNAC5		3	3	1066	0.3%	No
MDM1		12	9	1066	0.8%	No
LGALS14		3	3	1066	0.3%	No
SBF2		15	14	1066	1.3%	No
RNF146		5	4	1066	0.4%	No
SPRY4		1	1	1066	<0.1%	No
DPYSL5		7	7	1066	0.7%	No
WRNIP1		4	4	1066	0.4%	No
TMEM14B		1	1	1066	<0.1%	No
BDH2		1	1	1066	<0.1%	No
CDC42BPG		8	7	1066	0.7%	No
ANKS1B		10	9	1066	0.8%	No
SFXN3		3	3	1066	0.3%	No
GALNT10		7	6	1066	0.6%	No
DNAH3		28	26	1066	2.4%	No
UBQLN4		7	7	1066	0.7%	No
OR10AD1		1	1	1066	<0.1%	No
AGPAT3		4	4	1066	0.4%	No
KRTAP1-3		1	1	1066	<0.1%	No
TPH2		5	5	1066	0.5%	No
ZNF821		3	3	1066	0.3%	No
AGPAT4		3	3	1066	0.3%	No
KRTAP1-1		1	1	1066	<0.1%	No
VANGL1		7	7	1066	0.7%	No
ZNF641		4	4	1066	0.4%	No
CNOT11		2	2	1066	0.2%	No
SERPINA12		2	2	1066	0.2%	No
RHEBL1		2	2	1066	0.2%	No
CDV3		1	1	1066	<0.1%	No
FOXRED1		4	4	1066	0.4%	No
TRIM56		4	4	1066	0.4%	No
SUPT20H		3	3	1066	0.3%	No
NAGK		2	2	1066	0.2%	No
STAB2		21	18	1066	1.7%	No
TRIM73		2	2	1066	0.2%	No
SPECC1		6	6	1066	0.6%	No
FBXW10B		8	7	1066	0.7%	No
SLC15A4		5	5	1066	0.5%	No
KIF27		12	10	1066	0.9%	No
UBE2Q1		5	5	1066	0.5%	No
ISG20L2		3	3	1066	0.3%	No
CHRNA9		3	3	1066	0.3%	No
RAB1B		3	2	1066	0.2%	No
KRTAP9-9		1	1	1066	<0.1%	No
BMP2K		6	6	1066	0.6%	No
KRTAP4-6		3	3	1066	0.3%	No
TMEM132D		22	20	1066	1.9%	No
PTCRA		5	5	1066	0.5%	No
ARPC5L		1	1	1066	<0.1%	No
ILDR2		2	2	1066	0.2%	No
GPR180		2	2	1066	0.2%	No
MIPOL1		4	4	1066	0.4%	No
OTUD5		3	3	1066	0.3%	No
ZNF611		5	5	1066	0.5%	No
DIPK2A		2	2	1066	0.2%	No
MED25		4	4	1066	0.4%	No
VEZT		6	4	1066	0.4%	No
SHARPIN		4	4	1066	0.4%	No
ZCCHC8		8	7	1066	0.7%	No
OR2A4		3	3	1066	0.3%	No
OR4K1		1	1	1066	<0.1%	No
RNPC3		4	4	1066	0.4%	No
SPTSSA		1	1	1066	<0.1%	No
ZXDB		9	9	1066	0.8%	No
FAAH2		2	2	1066	0.2%	No
FMR1NB		8	8	1066	0.8%	No
C5ORF24		2	2	1066	0.2%	No
TMEM270		5	5	1066	0.5%	No
KASH5		8	8	1066	0.8%	No
GCC1		5	5	1066	0.5%	No
FAHD1		1	1	1066	<0.1%	No
ZNF785		2	2	1066	0.2%	No
TTC13		5	4	1066	0.4%	No
ATP13A3		10	7	1066	0.7%	No
ABHD8		1	1	1066	<0.1%	No
EPS8L3		3	3	1066	0.3%	No
CDC73		10	9	1066	0.8%	Yes
NKAP		5	5	1066	0.5%	No
SLIRP		1	1	1066	<0.1%	No
SLC25A28		1	1	1066	<0.1%	No
QTRT1		1	1	1066	<0.1%	No
TRIM50		6	5	1066	0.5%	No
CSAG1		3	3	1066	0.3%	No
LAS1L		7	7	1066	0.7%	No
HYI		1	1	1066	<0.1%	No
ZNF688		3	3	1066	0.3%	No
MAIP1		4	4	1066	0.4%	No
RIPOR1		8	6	1066	0.6%	No
PRSS36		4	4	1066	0.4%	No
FANK1		8	8	1066	0.8%	No
ARMH3		3	3	1066	0.3%	No
ST8SIA6		4	4	1066	0.4%	No
MRPL24		1	1	1066	<0.1%	No
DUSP29		4	4	1066	0.4%	No
SAP130		5	5	1066	0.5%	No
TMEM64		3	3	1066	0.3%	No
C16ORF89		2	2	1066	0.2%	No
GPR75-ASB3		2	2	1066	0.2%	No
OBI1		10	9	1066	0.8%	No
CEP97		5	5	1066	0.5%	No
RDH12		4	4	1066	0.4%	No
CCDC122		2	2	1066	0.2%	No
ATXN3L		4	4	1066	0.4%	No
DGKH		5	5	1066	0.5%	No
GGTLC2		3	3	1066	0.3%	No
BICDL1		2	2	1066	0.2%	No
SPAG16		3	3	1066	0.3%	No
SLC52A2		3	3	1066	0.3%	No
CHPF		2	2	1066	0.2%	No
CORO7		6	6	1066	0.6%	No
CARS2		4	4	1066	0.4%	No
RNF128		3	3	1066	0.3%	No
MALRD1		1	1	1066	<0.1%	No
SRRM5		3	3	1066	0.3%	No
PCSK9		2	2	1066	0.2%	No
GADL1		3	3	1066	0.3%	No
KCNK18		11	10	1066	0.9%	No
NPNT		5	5	1066	0.5%	No
ZC3HAV1		10	9	1066	0.8%	No
APRG1		2	2	1066	0.2%	No
GDF5-AS1		1	1	1066	<0.1%	No
FBXO48		2	2	1066	0.2%	No
FFAR4		2	2	1066	0.2%	No
IFNK		1	1	1066	<0.1%	No
SLAMF8		3	2	1066	0.2%	No
ETNK1		2	2	1066	0.2%	Yes
MACROH2A2		4	4	1066	0.4%	No
NOP10		2	2	1066	0.2%	No
TNFRSF19		2	2	1066	0.2%	No
TRPV6		4	4	1066	0.4%	No
GPR137		1	1	1066	<0.1%	No
BATF3		2	2	1066	0.2%	No
SLC35E3		2	2	1066	0.2%	No
GPRC5D		1	1	1066	<0.1%	No
RNF40		9	9	1066	0.8%	No
CTIF		5	5	1066	0.5%	No
ASPDH		2	2	1066	0.2%	No
SMPD3		2	2	1066	0.2%	No
SAGE1		16	16	1066	1.5%	No
DDX43		7	7	1066	0.7%	No
ASIC4		4	4	1066	0.4%	No
IP6K1		3	3	1066	0.3%	No
SCRN1		3	3	1066	0.3%	No
OR52B2		4	4	1066	0.4%	No
SPOCK2		2	2	1066	0.2%	No
SPHK2		4	4	1066	0.4%	No
RB1CC1		15	14	1066	1.3%	No
CUL7		16	16	1066	1.5%	No
ELAC1		1	1	1066	<0.1%	No
RAD18		6	6	1066	0.6%	No
CELF4		3	3	1066	0.3%	No
GRIPAP1		9	9	1066	0.8%	No
TRIM36		6	5	1066	0.5%	No
EMC7		2	2	1066	0.2%	No
SFI1		7	7	1066	0.7%	No
GIT2		4	4	1066	0.4%	No
FEM1A		1	1	1066	<0.1%	No
MYZAP		3	2	1066	0.2%	No
DELE1		2	2	1066	0.2%	No
DHTKD1		5	5	1066	0.5%	No
EFCAB14		4	4	1066	0.4%	No
NUP58		6	6	1066	0.6%	No
TSC22D2		3	3	1066	0.3%	No
URB2		7	7	1066	0.7%	No
PRAG1		4	4	1066	0.4%	No
KEAP1		2	2	1066	0.2%	Yes
PIP4P2		3	3	1066	0.3%	No
SLC43A1		3	3	1066	0.3%	No
JAKMIP2		4	4	1066	0.4%	No
PKP4		11	9	1066	0.8%	No
MELK		5	5	1066	0.5%	No
TRIM14		2	2	1066	0.2%	No
PPFIA1		14	11	1066	1.0%	No
ZNF623		9	8	1066	0.8%	No
KY		3	3	1066	0.3%	No
ELMOD1		3	3	1066	0.3%	No
SVOP		7	7	1066	0.7%	No
CRYBG1		14	12	1066	1.1%	No
AK1		1	1	1066	<0.1%	No
MAML3		9	8	1066	0.8%	No
AK4		1	1	1066	<0.1%	No
SLC30A10		6	6	1066	0.6%	No
SPATA2		5	5	1066	0.5%	No
AKT1		27	27	1066	2.5%	Yes
ARHGEF11		19	16	1066	1.5%	No
KCNK10		3	3	1066	0.3%	No
AKT2		5	4	1066	0.4%	Yes
ARMCX2		12	9	1066	0.8%	No
ERRFI1		1	1	1066	<0.1%	Yes
ARHGAP11A		8	7	1066	0.7%	No
CYCS		1	1	1066	<0.1%	No
CDCA7L		4	4	1066	0.4%	No
DNAJC6		5	5	1066	0.5%	No
RGP1		3	3	1066	0.3%	No
ARHGEF17		11	9	1066	0.8%	No
ADCY4		2	2	1066	0.2%	No
TESPA1		4	4	1066	0.4%	No
HEPH		13	12	1066	1.1%	No
LIPF		4	4	1066	0.4%	No
ELMO1		11	9	1066	0.8%	No
ZBTB24		7	7	1066	0.7%	No
PLEKHM1		7	7	1066	0.7%	No
IHO1		1	1	1066	<0.1%	No
TREM1		4	4	1066	0.4%	No
NETO2		2	2	1066	0.2%	No
ALAS1		3	3	1066	0.3%	No
IL17RB		3	3	1066	0.3%	No
NETO1		6	6	1066	0.6%	No
ALAS2		6	5	1066	0.5%	No
SPACA1		7	7	1066	0.7%	No
ALB		7	5	1066	0.5%	Yes
ALCAM		7	7	1066	0.7%	No
ABCD1		4	4	1066	0.4%	No
RBM38		1	1	1066	<0.1%	No
ALDH1A1		7	7	1066	0.7%	No
SNTG1		9	9	1066	0.8%	No
ALDH2		2	2	1066	0.2%	No
PARG		2	2	1066	0.2%	No
LCMT2		13	11	1066	1.0%	No
ZCCHC12		6	6	1066	0.6%	No
ALDH3A1		2	2	1066	0.2%	No
CNTNAP1		9	9	1066	0.8%	No
GINS1		1	1	1066	<0.1%	No
ALDH1B1		4	2	1066	0.2%	No
PIK3R3		6	6	1066	0.6%	Yes
FAM30A		1	1	1066	<0.1%	No
PEX3		4	3	1066	0.3%	No
NDST2		4	4	1066	0.4%	No
SLC41A1		4	4	1066	0.4%	No
PROSER2		1	1	1066	<0.1%	No
ENC1		3	3	1066	0.3%	No
ZEB2		16	14	1066	1.3%	No
HAT1		6	6	1066	0.6%	No
KIAA0753		4	3	1066	0.3%	No
C2CD2L		3	3	1066	0.3%	No
FARP2		8	8	1066	0.8%	No
GCM1		4	4	1066	0.4%	No
EPM2AIP1		8	6	1066	0.6%	No
ZNF596		2	2	1066	0.2%	No
GAS7		3	3	1066	0.3%	Yes
RUSC2		5	5	1066	0.5%	No
ALDH1A3		8	8	1066	0.8%	No
SOX6		10	9	1066	0.8%	No
ALDH3B1		5	5	1066	0.5%	No
SNTG2		5	5	1066	0.5%	No
ZNF823		8	7	1066	0.7%	No
UGGT1		13	9	1066	0.8%	No
ALDH3B2		4	4	1066	0.4%	No
ALDH9A1		3	3	1066	0.3%	No
KCMF1		4	4	1066	0.4%	No
ABHD3		2	2	1066	0.2%	No
AKR1C8		1	1	1066	<0.1%	No
ALDH3A2		3	3	1066	0.3%	No
ABCD2		3	3	1066	0.3%	No
ENOSF1		4	4	1066	0.4%	No
OR4F5		1	1	1066	<0.1%	No
ALDOA		6	6	1066	0.6%	No
CCDC39		10	9	1066	0.8%	No
KLK15		2	2	1066	0.2%	No
FSTL5		11	11	1066	1.0%	No
ITGA8		15	12	1066	1.1%	No
C2CD5		9	9	1066	0.8%	No
ALDOB		4	4	1066	0.4%	No
MFAP3L		3	3	1066	0.3%	No
KCNAB2		2	2	1066	0.2%	No
HAUS7		3	3	1066	0.3%	No
ITGA10		10	10	1066	0.9%	No
GAB2		4	4	1066	0.4%	Yes
PLXNA3		14	14	1066	1.3%	No
DNAAF3		4	4	1066	0.4%	No
TM9SF3		4	4	1066	0.4%	No
C11ORF86		3	3	1066	0.3%	No
ELP1		11	10	1066	0.9%	No
CST7		1	1	1066	<0.1%	No
PSMD6		5	5	1066	0.5%	No
RAB37		4	4	1066	0.4%	No
YBX3		2	2	1066	0.2%	No
MED24		9	7	1066	0.7%	No
TRH		3	3	1066	0.3%	No
LRIG2		6	5	1066	0.5%	No
MMAB		3	3	1066	0.3%	No
CHST1		2	2	1066	0.2%	No
TRHR		2	2	1066	0.2%	No
CBX4		4	4	1066	0.4%	No
TRIM66		5	3	1066	0.3%	No
TRIO		16	15	1066	1.4%	No
CPZ		6	6	1066	0.6%	No
MAGI2		16	15	1066	1.4%	No
CCT3		7	7	1066	0.7%	No
COPS3		5	5	1066	0.5%	No
ALDOC		3	3	1066	0.3%	No
AKR1B1		4	4	1066	0.4%	No
ALK		12	12	1066	1.1%	Yes
ALOX12		7	7	1066	0.7%	No
DGKD		10	10	1066	0.9%	No
PPP1R26		3	3	1066	0.3%	No
DDO		1	1	1066	<0.1%	No
CEP170		18	18	1066	1.7%	No
DGKZ		2	2	1066	0.2%	No
KIAA0319		12	12	1066	1.1%	No
DGKE		6	4	1066	0.4%	No
CEP350		30	21	1066	2.0%	No
CYP4F2		6	6	1066	0.6%	No
PPFIA3		5	5	1066	0.5%	No
APOL1		3	3	1066	0.3%	No
FCHSD2		6	6	1066	0.6%	No
AREL1		3	3	1066	0.3%	No
AGPS		3	3	1066	0.3%	No
SEC24D		10	10	1066	0.9%	No
AP3B1		12	11	1066	1.0%	No
ZC3H11A		14	14	1066	1.3%	No
LMO4		2	2	1066	0.2%	No
TLK1		6	5	1066	0.5%	No
PIR		4	4	1066	0.4%	No
URB1		10	9	1066	0.8%	No
ALOX5		2	2	1066	0.2%	No
ALOX5AP		1	1	1066	<0.1%	No
ALOX12B		3	3	1066	0.3%	Yes
ALOX15		4	4	1066	0.4%	No
ALOX15B		6	6	1066	0.6%	No
ALPI		2	2	1066	0.2%	No
ALPL		3	3	1066	0.3%	No
BARX2		3	3	1066	0.3%	No
SETDB1		15	15	1066	1.4%	Yes
TRIP6		4	4	1066	0.4%	No
API5		7	7	1066	0.7%	No
CAMK1		2	2	1066	0.2%	No
PJA2		8	8	1066	0.8%	No
BCAS1		14	14	1066	1.3%	No
TOMM70		2	2	1066	0.2%	No
TRPC1		10	8	1066	0.8%	No
POM121		10	10	1066	0.9%	No
BHLHE40		2	2	1066	0.2%	No
LRRC37A		1	1	1066	<0.1%	No
TRPC3		9	9	1066	0.8%	No
TRANK1		18	16	1066	1.5%	No
TBC1D4		15	15	1066	1.4%	No
TRPC5		12	12	1066	1.1%	No
CDC14A		3	3	1066	0.3%	No
SMG7		9	7	1066	0.7%	No
TRPC4		10	9	1066	0.8%	No
TCAP		1	1	1066	<0.1%	No
TRPM2		10	10	1066	0.9%	No
PIAS1		4	3	1066	0.3%	No
OSBPL2		2	2	1066	0.2%	No
TRPC6		11	10	1066	0.9%	No
CDC14B		2	2	1066	0.2%	No
RHOBTB1		3	3	1066	0.3%	No
ALPP		3	3	1066	0.3%	No
ZBTB39		5	5	1066	0.5%	No
ALPG		1	1	1066	<0.1%	No
SMCO1		2	2	1066	0.2%	No
AMBN		6	6	1066	0.6%	No
AMBP		3	3	1066	0.3%	No
LGR5		8	8	1066	0.8%	Yes
TRO		12	12	1066	1.1%	No
FCN3		1	1	1066	<0.1%	No
TOX4		8	8	1066	0.8%	No
BLZF1		1	1	1066	<0.1%	No
DDX46		6	5	1066	0.5%	No
THOC5		4	4	1066	0.4%	No
TELO2		6	6	1066	0.6%	No
KMO		9	9	1066	0.8%	No
TECPR2		6	6	1066	0.6%	No
SNAP91		9	9	1066	0.8%	No
MADD		17	16	1066	1.5%	No
UBAP2L		5	4	1066	0.4%	No
RRP1		6	5	1066	0.5%	No
SV2B		4	4	1066	0.4%	No
YARS1		3	3	1066	0.3%	No
FIG4		4	4	1066	0.4%	No
WASHC5		8	7	1066	0.7%	No
EPHX4		5	4	1066	0.4%	No
PLPPR4		3	3	1066	0.3%	No
DEGS1		6	6	1066	0.6%	No
NUAK1		12	12	1066	1.1%	No
AMD1		3	3	1066	0.3%	No
AMELX		4	4	1066	0.4%	No
AMH		1	1	1066	<0.1%	No
AMHR2		3	3	1066	0.3%	No
PRR14L		12	11	1066	1.0%	No
PRSS42P		2	2	1066	0.2%	No
TRPS1		17	17	1066	1.6%	No
CDK10		3	3	1066	0.3%	No
ZBED4		9	9	1066	0.8%	No
PRPF18		2	2	1066	0.2%	No
PRKRA		3	3	1066	0.3%	No
PDLIM4		4	4	1066	0.4%	No
CASK		13	13	1066	1.2%	No
SCARF1		1	1	1066	<0.1%	No
TSC1		9	9	1066	0.8%	Yes
STK16		2	2	1066	0.2%	No
TSN		1	1	1066	<0.1%	No
TMEFF1		3	2	1066	0.2%	No
AMPD1		12	12	1066	1.1%	No
AMPD2		2	2	1066	0.2%	No
KHSRP		6	6	1066	0.6%	No
AMPD3		8	8	1066	0.8%	No
AMPH		8	8	1066	0.8%	No
BIN1		3	3	1066	0.3%	No
AMT		2	2	1066	0.2%	No
CEP20		3	3	1066	0.3%	No
AMY1A		1	1	1066	<0.1%	No
AMY1C		1	1	1066	<0.1%	No
AMY2A		5	5	1066	0.5%	No
MKNK1		2	2	1066	0.2%	Yes
TSHR		7	7	1066	0.7%	Yes
TSHB		1	1	1066	<0.1%	No
TSNAX		4	4	1066	0.4%	No
TSPYL1		4	4	1066	0.4%	No
AMY2B		1	1	1066	<0.1%	No
LY6D		3	3	1066	0.3%	No
ANGPT1		7	7	1066	0.7%	No
TSG101		3	3	1066	0.3%	No
ANGPT2		2	2	1066	0.2%	No
ANK1		21	19	1066	1.8%	No
ANK2		33	28	1066	2.6%	No
ANK3		40	28	1066	2.6%	No
TSC2		9	9	1066	0.8%	Yes
NTAN1		2	2	1066	0.2%	No
GFUS		2	2	1066	0.2%	No
DNAJC7		5	5	1066	0.5%	No
TTC1		1	1	1066	<0.1%	No
TTC4		5	5	1066	0.5%	No
TTC3		13	11	1066	1.0%	No
ANPEP		9	9	1066	0.8%	No
SLC25A4		3	3	1066	0.3%	No
SLC25A6		1	1	1066	<0.1%	No
EIPR1		3	3	1066	0.3%	No
OR6A2		8	8	1066	0.8%	No
TUB		2	2	1066	0.2%	No
TTPA		3	3	1066	0.3%	No
TUBA4A		2	2	1066	0.2%	No
TUBA3C		6	6	1066	0.6%	No
TTF1		3	3	1066	0.3%	No
SERHL2		1	1	1066	<0.1%	No
TTN		311	187	1066	17.5%	No
TTK		5	5	1066	0.5%	No
TUFT1		2	2	1066	0.2%	No
TULP2		4	4	1066	0.4%	No
TULP1		5	5	1066	0.5%	No
L3MBTL4		7	7	1066	0.7%	No
TULP3		4	4	1066	0.4%	No
UBLCP1		3	3	1066	0.3%	No
TUBB2A		3	3	1066	0.3%	No
GJB7		1	1	1066	<0.1%	No
TUFM		4	4	1066	0.4%	No
TUBG1		2	2	1066	0.2%	No
TYK2		8	8	1066	0.8%	Yes
TXNRD1		4	3	1066	0.3%	No
TYR		8	7	1066	0.7%	No
TYMS		1	1	1066	<0.1%	No
ACOT12		2	2	1066	0.2%	No
TWIST1		2	2	1066	0.2%	No
HIRA		7	6	1066	0.6%	Yes
TNFSF4		4	4	1066	0.4%	No
ZNF682		3	3	1066	0.3%	No
TXN		1	1	1066	<0.1%	No
TXK		3	3	1066	0.3%	No
ZNF563		4	4	1066	0.4%	No
IGFN1		3	3	1066	0.3%	No
CBLL2		4	4	1066	0.4%	No
RPS10-NUDT3		1	1	1066	<0.1%	No
TIGD7		2	2	1066	0.2%	No
SPC24		2	1	1066	<0.1%	No
TMEM67		11	9	1066	0.8%	No
SHROOM1		3	3	1066	0.3%	No
NOMO3		2	2	1066	0.2%	No
GPR153		5	5	1066	0.5%	No
SCARF2		1	1	1066	<0.1%	No
ZNF559-ZNF177		2	2	1066	0.2%	No
TMEM256-PLSCR3		2	2	1066	0.2%	No
LRIG3		10	10	1066	0.9%	Yes
PEDS1-UBE2V1		6	6	1066	0.6%	No
TRAPPC6B		1	1	1066	<0.1%	No
SDR9C7		2	2	1066	0.2%	No
ACSM2A		6	6	1066	0.6%	No
DNAAF1		3	3	1066	0.3%	No
DCUN1D3		1	1	1066	<0.1%	No
NUP210L		18	16	1066	1.5%	No
MRPL11		1	1	1066	<0.1%	No
CCDC63		5	5	1066	0.5%	No
GCNA		8	7	1066	0.7%	No
MRPL9		3	3	1066	0.3%	No
MYO18A		18	15	1066	1.4%	Yes
MRPL1		2	2	1066	0.2%	No
ANKDD1A		1	1	1066	<0.1%	No
NDRG4		3	3	1066	0.3%	No
PPTC7		3	3	1066	0.3%	No
SCYL2		10	10	1066	0.9%	No
RUFY2		3	3	1066	0.3%	No
TMEM204		3	3	1066	0.3%	No
RABL6		2	2	1066	0.2%	No
RHBDF2		7	7	1066	0.7%	No
TMED6		1	1	1066	<0.1%	No
KANSL3		6	6	1066	0.6%	No
HECTD3		4	4	1066	0.4%	No
YEATS2		8	8	1066	0.8%	No
BEND5		3	3	1066	0.3%	No
TRMU		1	1	1066	<0.1%	No
ARHGAP10		4	4	1066	0.4%	No
GPR15LG		2	2	1066	0.2%	No
RPAP3		4	3	1066	0.3%	No
DYNC2H1		30	27	1066	2.5%	No
TMEM179B		1	1	1066	<0.1%	No
FAM111B		4	4	1066	0.4%	No
SHC4		5	4	1066	0.4%	No
SLC26A6		5	5	1066	0.5%	No
GALNT18		2	2	1066	0.2%	No
SLC26A10P		3	3	1066	0.3%	No
TIFA		3	3	1066	0.3%	No
PINK1		6	6	1066	0.6%	No
AK7		7	6	1066	0.6%	No
SH2D4B		3	3	1066	0.3%	No
WNT4		3	3	1066	0.3%	No
FRMD4A		8	8	1066	0.8%	No
PACS1		6	6	1066	0.6%	No
RBM22		2	2	1066	0.2%	No
ROGDI		1	1	1066	<0.1%	No
NSUN5		4	4	1066	0.4%	No
C22ORF46P		2	2	1066	0.2%	No
HAO1		6	6	1066	0.6%	No
CHMP6		1	1	1066	<0.1%	No
KDM4D		3	3	1066	0.3%	No
ARSJ		2	1	1066	<0.1%	No
IARS2		7	6	1066	0.6%	No
SRD5A3		1	1	1066	<0.1%	No
RADIL		2	2	1066	0.2%	No
AKIRIN1		2	2	1066	0.2%	No
TMC4		4	4	1066	0.4%	No
VAC14		6	6	1066	0.6%	No
